a,PRZ
tinagpulo ka tuig,NN
tinai,NN
tinapay,NN
tindahan,NN
tindera,NN
tindero,NN
tindog,VRB
tingali,ADV
tingdagdag,NN
tinginit,NN
tingog,NN
tingpamulak,NN
tingtugnaw,NN
tingulan,NN
tinta,NN
tinun-an,NN
tinuod,ADJ
tipik,NN
tisas,NN
tita,NN
titik,NN
tito,NN
titulo,NN
tiya,NN
tiyan,NN
tiyo,NN
toalya,NN
tonelada,NN
tornilyo,NN
torta,NN
trabahador,NN
trabaho,NN
trabaho,VRB
trabahoa,VRB
trabahoan,VRB
trabahoi,VRB
trabahoon,VRB
trak,NN
tratado,NN
trato,NN
trisiklo,NN
trompeta,NN
tsa,NN
tsaketa,NN
Tsina,NN
tsinilas,NN
tuba,NN
tubag,VRB
tubaga,VRB
tubagon,VRB
tubig,NN
tubo,NN
tuburan,NN
tudlo,NN
tudlo,NN
tudlo,NN
tudloan,VRB
tudloi,VRB
tugnaw,ADJ
tugon,NN
tuhod,NN
tuig,NN
tuig,NN
tuko,NN
tukora,VRB
tukoran,VRB
tukori,VRB
tukoron,VRB
tukso,NN
tul-id,ADJ
tulin,ADJ
tulin,NN
tulisan,NN
tulo,NBR
tulo ka gatos,NBR
tulo ka libo,NBR
tulos,NN
tulunghaan,NN
tun-an,VRB
tunga,NBR
tunga sa tuig,NN
tungang gabii,NN
tun-i,VRB
tuo,VRB
tuohan,VRB
tuohi,VRB
tuon,NN
tupi,NN
tustahanan,NN
tustus,NN
tutoy,NN
tutunlan,NN
tuway-tuway,NN
uban,PREP
uban,ADJ
ubas,NN
ubo,NN
udto,NN
uga,ADJ
uga,NN
ugangan,NN
ugma,ADV
ugma sa buntag,ADV
ugma sa gabii,ADV
ugma sa hapon,ADV
ugma sa udto,ADV
uk-uk,NN
ulagan,ADJ
ulahi,NN
ulahi,ADJ
ulahi,ADJ
ulan,NN
ulanon,ADJ
ulay,ADJ
ulitawo,NN
ulo,NN
ulod,NN
ulusahon,ADJ
uma,NN
umagad,NN
umagad nga babaye,NN
umagad nga lalaki,NN
una,ADJ
uncle,NN
unggoy,NN
unibersidad,NN
unlan,NN
unom,NBR
unom ka gatos,NBR
unom ka libo,NBR
unos,NN
unsang,PRZ
unuson,ADJ
unya,ADV
unya sa buntag,ADV
unya sa gabii,ADV
unya sa hapon,ADV
unya sa udto,ADV
upat,NBR
upat ka gatos,NBR
upat ka libo,NBR
urakan,NN
usa,NBR
usa,NN
usa ka gatos,NBR
usa ka gatos ug usa,NBR
usa ka libo,NBR
usa ka libo ug usa,NBR
usab,ADV
usahay,ADV
utanon,NN
utaw,NN
utin,NN
utok,NN
utokan,ADJ
utot,NN
uyab,NN
uyab nga babaye,NN
uyab nga lalaki,NN
uyuan,NN
waiter,NN
waitress,NN
wala giuhaw,ADJ
walay buhat,ADJ
walay gabon,ADJ
walay trabaho,ADJ
walo,NBR
walo ka gatos,NBR
walo ka libo,NBR
walog,NN
wat,NN
yahong,NN
yamog,NN
yano,ADJ
yawi,NN
yuta,NN
